date,time,name,place
2026-05-18,10:00,Выставка современного искусства,Центральный выставочный зал
2026-05-18,19:00,Лекция "Искусственный интеллект в жизни",Лекторий "Знание"
2026-05-19,12:00,Мастер-класс по робототехнике для детей,Технопарк
2026-05-19,20:00,Концерт джазового квартета,Джаз-клуб "Среда"
2026-05-20,15:00,Открытие летнего сезона в парке,Городской парк
2026-05-20,19:30,Спектакль "Три сестры",Драматический театр
2026-05-21,11:00,Экскурсия по архитектурным памятникам,Сбор у мэрии
2026-05-21,18:00,Кинопоказ под открытым небом,Площадь искусств
2026-05-22,10:00,Ярмарка вакансий IT-компаний,Бизнес-центр "Вершина"
2026-05-22,20:00,Стендап вечер,Клуб "Комедия"
2026-05-23,14:00,Фестиваль уличной еды,Набережная
2026-05-23,18:00,Ночной забег,Парк "Зарядье"
2026-05-24,12:00,Детский праздник "Весёлые старты",Стадион "Юность"
2026-05-24,17:00,Поэтический вечер,Библиотека им. Пушкина
2026-05-25,09:00,Конференция по стартапам,Технопарк "Сколково"
2026-05-25,19:00,Лекция "Как управлять стрессом",Онлайн (Zoom)
2026-05-26,16:00,Открытый урок по йоге,Центральный парк
2026-05-26,20:00,Рок-концерт,Клуб "Точка"
2026-05-27,11:00,Выставка ретро-автомобилей,Выставочный комплекс
2026-05-27,19:30,Симфонический концерт,Филармония
2026-05-28,13:00,Бизнес-завтрак для предпринимателей,Ресторан "Купеческий"
2026-05-28,21:00,Квиз "Мозгобойня",Бар "Интеллектуал"
2026-05-29,10:00,Субботник в парке,Центральный парк
2026-05-29,18:00,Вечеринка в стиле 90-х,Клуб "Диско"
2026-05-30,15:00,Фестиваль красок,Поляна за городом
2026-05-30,20:00,Концерт классической музыки,Соборная площадь
2026-05-31,12:00,День открытых дверей в зоопарке,Зоопарк
2026-05-31,17:00,Литературная гостиная,Дом писателя
2026-06-01,10:00,Праздничный концерт ко Дню защиты детей,Площадь Ленина
2026-06-01,19:00,Лекция "Психология общения",Онлайн
2026-06-02,14:00,Мастер-класс по гончарному делу,Гончарная мастерская
2026-06-02,20:00,Хоррор-квест,Квест-комната "Страх"
2026-06-03,11:00,Выставка кошек,Дворец спорта
2026-06-03,19:30,Спектакль "Ревизор",Театр Сатиры
2026-06-04,09:00,Форум "Образование будущего",Конгресс-центр
2026-06-04,20:00,Иммерсивный спектакль,Лофт "Сцена"
2026-06-05,12:00,Городской пикник,Парк "Сосны"
2026-06-05,18:00,Электронная вечеринка,Клуб "Атмосфера"
2026-06-06,15:00,Турнир по настольным играм,Антикафе "Игротека"
2026-06-06,21:00,Ночной киносеанс,Кинотеатр "Звезда"
2026-06-07,10:00,Экологический субботник,Берег реки
2026-06-07,17:00,Концерт уличных музыкантов,Арбат
2026-06-08,16:00,Лекция "Финансовая грамотность",Библиотека экономической литературы
2026-06-08,19:00,Вечер настольных игр,Клуб "Игрок"
2026-06-09,11:00,Ярмарка handmade,Центр ремёсел
2026-06-09,20:00,Джазовый вечер,Ресторан "Бурбон"
2026-06-10,13:00,Мастер-класс по каллиграфии,Арт-студия
2026-06-10,19:30,Моноспектакль,Малый зал театра
2026-06-11,09:00,Спортивный фестиваль,Стадион "Динамо"
2026-06-11,21:00,Дискотека 80-х,Клуб "Ретро"
2026-06-12,12:00,Парад в честь Дня России,Главная улица
2026-06-12,19:00,Праздничный фейерверк,Набережная
2026-06-13,14:00,Фестиваль мыльных пузырей,Детский парк
2026-06-13,18:00,Рок-фестиваль,Открытая площадка
2026-06-14,10:00,Выставка цветов,Ботанический сад
2026-06-14,16:00,Квест по городу "Тайны старого города",Центр
2026-06-15,12:00,Лекция "История кино",Медиатека
2026-06-15,20:00,Концерт группы "Восток",Клуб "Бочка"
2026-06-16,15:00,Мастер-класс по рисованию песком,Арт-галерея
2026-06-16,19:00,Спектакль "Собачье сердце",Театр имени Чехова
2026-06-17,11:00,Презентация книги местного автора,Книжный магазин "Читай-город"
2026-06-17,18:00,Выставка фотографий "Город в объективе",Фотогалерея